iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,14,0,13,0,1.321725,0.226542,0.000256,0.000196,1.779031
2,0,0,0,0,0.473725,0.142643,0.000364,0.000172,0.621779
3,0,0,0,0,0.454508,0.140426,0.000369,0.000190,0.600644
4,0,0,0,0,0.431003,0.145564,0.000299,0.000296,0.582753
5,0,0,0,0,0.379448,0.124076,0.000273,0.000185,0.508313
6,0,0,0,0,1.635642,0.081910,0.000203,0.000093,1.721837
7,0,0,0,0,0.361028,0.107281,0.000295,0.000147,0.472604
8,0,0,0,0,0.537680,0.163569,0.000334,0.000208,0.707349
9,0,0,0,0,0.467485,0.143474,0.000434,0.000174,0.616345
10,0,0,0,0,0.430380,0.144344,0.000313,0.000173,0.580106
11,0,0,0,0,0.365680,0.111060,0.000219,0.000122,0.480903
12,0,0,0,0,0.451202,0.129458,0.000398,0.000304,0.586500
13,0,0,0,0,0.454970,0.131150,0.000409,0.000297,0.592348
14,0,0,0,0,0.501655,0.163728,0.000362,0.000281,0.670947
15,0,0,0,0,0.464082,0.136502,0.000282,0.000173,0.605622
16,0,0,0,0,0.717348,0.187924,0.000510,0.000242,0.912811
17,0,0,0,0,0.355919,0.095663,0.000290,0.000080,0.455370
18,0,0,0,0,0.406593,0.125831,0.000360,0.000258,0.537996
19,0,0,0,0,0.470576,0.147192,0.000398,0.000253,0.623518
20,0,0,0,0,0.448217,0.129399,0.000345,0.000204,0.584335
21,0,0,0,0,0.337064,0.156755,0.000432,0.000261,0.498831
22,0,0,0,0,0.288247,0.131174,0.000195,0.000122,0.423479
23,0,0,0,0,0.295687,0.121800,0.000399,0.000418,0.423590
24,0,0,0,0,0.299913,0.104676,0.000226,0.000199,0.408622
25,0,0,0,0,0.339356,0.162837,0.000411,0.000236,0.507932
26,0,0,0,0,0.336357,0.156183,0.000406,0.000211,0.498503
27,0,0,0,0,0.320192,0.140713,0.000369,0.000164,0.465587
28,0,0,0,0,0.312705,0.124653,0.000331,0.000156,0.442257
29,0,0,0,0,0.348580,0.179434,0.000366,0.000351,0.532946
30,0,0,0,0,0.341070,0.133188,0.000343,0.000202,0.479612
31,0,0,0,0,0.367661,0.140786,0.000294,0.000430,0.514634
32,0,0,0,0,0.364706,0.160934,0.000412,0.000243,0.531942
33,0,0,0,0,0.424603,0.181742,0.000387,0.000285,0.612939
34,0,0,0,0,0.274484,0.129959,0.000418,0.000187,0.409235
35,0,0,0,0,0.312104,0.154380,0.000301,0.000308,0.471661
36,0,0,0,0,0.323346,0.145439,0.000367,0.000164,0.473613
37,0,0,0,0,0.308264,0.118480,0.000409,0.000091,0.430224
