query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,0,Carol,1,True,accepted,mapclosures,2.5828576560784344,True,8,6,0.3478953016363447,0.5360636710329962
Alpha,2,Carol,3,True,accepted,mapclosures,4.317251353017849,True,10,8,0.32507835444341365,0.5369250985545335
Alpha,3,Bob,1,True,accepted,mapclosures,7.283197689794685,True,10,7,0.3008807783998656,0.43486410496719774
Alpha,5,Carol,5,False,high_rmse,mapclosures,6.6016313545625245,True,8,7,0.35456260305471626,0.6463863440607627
Alpha,6,Bob,3,True,accepted,mapclosures,7.733344434580382,True,7,7,0.34447856492784734,0.593367515712868
Alpha,9,Carol,9,True,accepted,mapclosures,6.7957452338574695,True,12,10,0.3467630419066418,0.6850784287437994
Alpha,11,Bob,3,False,high_rmse,mapclosures,11.155820811424352,False,9,6,0.35090110173115996,0.5121013900245298
Alpha,12,Carol,11,True,accepted,mapclosures,7.793240371294674,True,12,8,0.3446447764771549,0.6538562606753383
Alpha,14,Bob,10,True,accepted,mapclosures,,,11,8,0.3227919600113493,0.6823937414307606
Alpha,14,Carol,13,True,accepted,megaloc,7.846392896229213,True,14,8,0.3322617016987847,0.574091492090637
Alpha,15,Carol,11,True,accepted,mapclosures,11.034400565611213,False,10,7,0.3389089565093466,0.535672053606622
Alpha,17,Bob,14,True,accepted,mapclosures,,,10,6,0.32807494545220106,0.673936170212766
Alpha,18,Carol,17,True,accepted,mapclosures,7.771011485477759,True,7,6,0.32520962444342894,0.5749498423617082
Alpha,19,Carol,18,True,accepted,megaloc,7.847493534835285,True,15,10,0.32439424629777,0.5822021116138764
Alpha,20,Bob,18,True,accepted,mapclosures,,,13,12,0.31711883496284293,0.7140174278846154
Alpha,23,Bob,21,True,accepted,mapclosures,,,9,6,0.30557192017626045,0.7062078751330259
Alpha,27,Bob,25,True,accepted,mapclosures,,,16,12,0.3170547226093064,0.7537437603993344
Alpha,30,Bob,28,True,accepted,mapclosures,,,11,8,0.3244343507418868,0.7423728813559322
Alpha,31,Carol,27,True,accepted,mapclosures,,,12,7,0.3275981983372459,0.5579487179487179
Alpha,33,Bob,31,True,accepted,megaloc+mapclosures,,,15,8,0.3211418292680637,0.7429257674697891
Alpha,34,Carol,29,True,accepted,mapclosures,,,10,7,0.3404557054779901,0.5317081946568318
Alpha,36,Bob,32,True,accepted,mapclosures,,,10,7,0.30758607016296025,0.6764807758919293
Alpha,36,Bob,34,True,accepted,megaloc+mapclosures,,,11,6,0.3080293978817577,0.7226186352615172
Alpha,38,Carol,35,True,accepted,mapclosures,10.623022110031105,False,7,7,0.3134882911558495,0.6148454921949665
Alpha,39,Bob,38,True,accepted,mapclosures,,,13,10,0.29756722160620347,0.7821810005621136
Alpha,40,Bob,40,True,accepted,megaloc+mapclosures,,,13,9,0.29716942100771215,0.7876194811106054
Alpha,42,Bob,34,True,accepted,mapclosures,,,9,9,0.3338980132051095,0.5812896011926948
Alpha,43,Carol,30,True,accepted,mapclosures,21.373999336949414,False,15,8,0.3364343478661924,0.43862142476461186
Alpha,45,Bob,45,True,accepted,mapclosures,,,10,7,0.3075342837797235,0.7548147067405895
Alpha,46,Bob,46,True,accepted,megaloc+mapclosures,,,14,13,0.3024520602028752,0.7302257829570284
Alpha,46,Carol,25,True,accepted,mapclosures,29.89981355450329,False,10,8,0.33973949383479235,0.3856123869171886
Alpha,48,Bob,47,True,accepted,mapclosures,,,14,13,0.3135092116660971,0.6961110717574556
Alpha,49,Carol,46,True,accepted,mapclosures,,,12,8,0.34442570745308243,0.5886446072988378
Alpha,51,Bob,46,True,accepted,mapclosures,,,7,6,0.3411753163796286,0.5782127808988764
Alpha,52,Carol,45,True,accepted,mapclosures,,,11,8,0.34126280211292426,0.5666964418639273
Alpha,54,Bob,53,True,accepted,mapclosures,,,13,10,0.32840245653185957,0.7052339474292761
Alpha,55,Carol,51,True,accepted,mapclosures,,,12,7,0.335307304870346,0.6239556225174634
Alpha,57,Bob,57,True,accepted,mapclosures,,,16,15,0.3310706239456583,0.7214826021180031
Alpha,58,Carol,54,True,accepted,mapclosures,,,8,7,0.3410562498654377,0.5818789144050104
Alpha,60,Bob,59,True,accepted,mapclosures,,,15,15,0.3358111908488879,0.7134878739193635
Alpha,61,Carol,58,True,accepted,mapclosures,,,14,12,0.3420236074318378,0.5845426120420107
Alpha,63,Bob,58,False,high_rmse,mapclosures,,,10,6,0.35169050168193217,0.6115874855156431
Alpha,64,Bob,67,False,not_converged,megaloc,6.52971064669461,True,31,20,0.3294147257366008,0.7122265681587715
Alpha,64,Carol,60,False,high_rmse,mapclosures,7.24607007844868,True,12,12,0.35017116327767367,0.5706404234697682
Alpha,65,Carol,62,False,high_rmse,megaloc+mapclosures,6.082972388993385,True,13,11,0.3568040779374476,0.5321842368759834
Alpha,66,Bob,57,False,high_rmse,mapclosures,,,10,7,0.3535430257639859,0.5305367934589407
Alpha,67,Bob,68,True,accepted,megaloc,8.66470021549006,True,23,15,0.33491244281377125,0.6229921677950352
Alpha,67,Carol,63,True,accepted,megaloc+mapclosures,6.938861668103666,True,8,6,0.34523671911280435,0.6075741336191497
Alpha,68,Carol,64,True,accepted,megaloc,6.896618441780093,True,22,15,0.3444215876849374,0.5885446276293349
Alpha,69,Bob,71,True,accepted,megaloc+mapclosures,7.509321210450304,True,16,11,0.3333858612198064,0.6881750017197497
Alpha,70,Bob,72,True,accepted,megaloc,7.518890748754456,True,28,18,0.3353843806453514,0.6926462237365133
Alpha,70,Carol,61,False,high_rmse,mapclosures,11.949454439175799,False,11,10,0.35429359770772356,0.5112686567164179
Alpha,71,Carol,67,True,accepted,megaloc,6.792138837486921,True,15,10,0.34484276658609975,0.5754925202321589
Alpha,72,Bob,73,True,accepted,megaloc+mapclosures,8.60139701166318,True,13,9,0.3484260734944924,0.6491569390402075
Alpha,73,Bob,76,True,accepted,megaloc+mapclosures,6.519201424300233,True,8,6,0.3395229743225588,0.6209439528023599
Alpha,73,Carol,68,False,high_rmse,megaloc+mapclosures,7.811845772357693,True,8,6,0.35427427222676977,0.5023838818824977
Alpha,74,Carol,64,False,high_rmse,megaloc,13.040478454235632,False,22,10,0.35757722444005635,0.4582859579306424
Alpha,75,Bob,78,True,accepted,megaloc+mapclosures,6.4746566781029795,True,13,12,0.3455450121243501,0.6091885441527446
Alpha,76,Bob,78,True,accepted,megaloc,7.54284146292606,True,31,19,0.3492401405096918,0.5979372655983635
