peer,from1,to1,from2,to2,available,squared_mahalanobis,threshold,translation_m,rotation_rad,consistent
1,1,0,4,12,1,0.087325232889935031,16.811893829770931,0.12071781569158521,0.024870868122046166,1
1,1,0,6,9,1,0.075219084695845484,16.811893829770931,0.10849651327273728,0.022629645225389503,1
1,1,0,8,9,1,0.071034367644344648,16.811893829770931,0.11097528756981215,0.022696341700392607,1
1,1,0,9,12,1,0.068152304825221,16.811893829770931,0.11540680807362715,0.02369996407941366,1
1,1,0,9,15,1,0.068761559919432808,16.811893829770931,0.13183084850176421,0.024391879730394615,1
1,1,0,10,1,1,0.048044859310532123,16.811893829770931,0.099211507586891581,0.016659172910492945,1
1,1,0,14,15,1,0.067181751820829139,16.811893829770931,0.15741154714606106,0.024935902772464557,1
1,1,0,14,18,1,0.066413591621763385,16.811893829770931,0.15830537231560082,0.025982271092215355,1
1,1,0,15,21,1,0.061614849235571201,16.811893829770931,0.17681899044820237,0.025772181051015777,1
1,1,0,15,24,1,0.055811027172137595,16.811893829770931,0.173080999363914,0.026266861637012997,1
1,1,0,18,27,1,0.051068879923869034,16.811893829770931,0.20004003285429392,0.026922307147036036,1
1,1,0,20,29,1,0.057068195323040603,16.811893829770931,0.24719452318205273,0.029336643549187837,1
1,1,0,31,19,1,0.063308168201869922,16.811893829770931,0.2495063839895226,0.028225996897179823,1
1,1,0,34,17,1,0.070109515348754994,16.811893829770931,0.27618340893689125,0.031050466840435394,1
1,1,0,532,471,1,0.013675030267730513,16.811893829770931,3.0269390621942942,0.050106535088769187,1
1,1,0,539,473,1,0.014461804928762761,16.811893829770931,2.9856476393384779,0.050797713875620001,1
1,1,0,545,474,1,0.014378893546323251,16.811893829770931,3.3707047889226338,0.048515475246456607,1
1,4,12,6,9,1,0.003006245956941384,16.811893829770931,0.022485706278087415,0.0030564355756700664,1
1,4,12,8,9,1,0.00248693194050353,16.811893829770931,0.024183961530005561,0.0027667204105356982,1
1,4,12,9,12,1,0.003701999390810993,16.811893829770931,0.051639971256105713,0.002182586861023622,1
1,4,12,9,15,1,0.0059593806156581601,16.811893829770931,0.075291998301663804,0.0020943604957106478,1
1,4,12,10,1,1,0.011532653578744799,16.811893829770931,0.057691037007034041,0.008248778993245753,1
1,4,12,14,15,1,0.005536461550388597,16.811893829770931,0.07064172994808314,0.001964111298773036,1
1,4,12,14,18,1,0.0081383551555444782,16.811893829770931,0.099443436723299611,0.0021186027111632756,1
