robot_from,robot_to,key_from,key_to,retained,reason,clique_size
0,1,1,0,1,retained_clique,18
0,1,4,12,1,retained_clique,18
0,1,6,9,1,retained_clique,18
0,1,8,9,1,retained_clique,18
0,1,9,12,1,retained_clique,18
0,1,9,15,1,retained_clique,18
0,1,10,1,1,retained_clique,18
0,1,14,15,1,retained_clique,18
0,1,14,18,1,retained_clique,18
0,1,15,21,1,retained_clique,18
0,1,15,24,1,retained_clique,18
0,1,18,27,1,retained_clique,18
0,1,20,29,1,retained_clique,18
0,1,31,19,1,retained_clique,18
0,1,34,17,1,retained_clique,18
0,1,532,471,1,retained_clique,18
0,1,539,473,1,retained_clique,18
0,1,545,474,1,retained_clique,18
1,2,0,0,1,retained_clique,22
1,2,0,1,1,retained_clique,22
1,2,1,2,1,retained_clique,22
1,2,1,3,1,retained_clique,22
1,2,1,5,1,retained_clique,22
1,2,6,1,1,retained_clique,22
1,2,372,393,1,retained_clique,22
1,2,372,406,1,retained_clique,22
1,2,375,403,1,retained_clique,22
1,2,378,407,1,retained_clique,22
1,2,381,406,1,retained_clique,22
1,2,384,406,1,retained_clique,22
1,2,387,405,1,retained_clique,22
1,2,390,400,1,retained_clique,22
1,2,393,411,1,retained_clique,22
1,2,454,487,1,retained_clique,22
1,2,472,518,1,retained_clique,22
1,2,473,500,1,retained_clique,22
1,2,473,518,1,retained_clique,22
1,2,474,504,1,retained_clique,22
1,2,475,509,1,retained_clique,22
1,2,475,519,1,retained_clique,22
