peer,from1,to1,from2,to2,available,squared_mahalanobis,threshold,translation_m,rotation_rad,consistent
0,11,1,530,498,1,0.0061440209795227772,16.811893829770931,3.7748218709216892,0.038228386186208586,1
0,11,1,532,498,1,0.0063748649837554201,16.811893829770931,3.887872219552595,0.038817549344711696,1
0,11,1,535,498,1,0.0062985082378639,16.811893829770931,3.709260618117427,0.038808841923426755,1
0,11,1,536,503,1,0.0062692926236101532,16.811893829770931,3.7553530219405058,0.039137363269183899,1
0,11,1,538,498,1,0.0064554446177040037,16.811893829770931,3.4368687299809957,0.0394603986053913,1
0,11,1,540,506,1,0.0064217034404189036,16.811893829770931,4.020934281869919,0.039840302452366951,1
0,11,1,542,509,1,0.0065117731930861445,16.811893829770931,4.1899082518788981,0.039978243902880545,1
0,11,1,543,492,1,0.0063170172670113361,16.811893829770931,3.9496858746097749,0.039063646507814513,1
0,11,1,543,513,1,0.0062702545636042694,16.811893829770931,3.8389632001576617,0.039013976829495416,1
0,530,498,532,498,1,0.0011453178919266587,16.811893829770931,0.03048887126479671,0.0010802888113007217,1
0,530,498,535,498,1,0.00026985127641707222,16.811893829770931,0.011401708363883911,0.00082572105272020588,1
0,530,498,536,503,1,0.0014722716966580423,16.811893829770931,0.039789347951952568,0.0010753505840928029,1
0,530,498,538,498,1,0.0013204805202362111,16.811893829770931,0.016069086166747636,0.0024356662366843344,1
0,530,498,540,506,1,0.0019964818718754595,16.811893829770931,0.044400878240490153,0.0020983248904584066,1
0,530,498,542,509,1,0.0036978397729599361,16.811893829770931,0.06896391093542599,0.0019278126358339579,1
0,530,498,543,492,1,0.0015380672505503437,16.811893829770931,0.038180613074298222,0.0019087732023220052,1
0,530,498,543,513,1,0.0059321137220719605,16.811893829770931,0.101143305848443,0.0010037382156790995,1
0,532,498,535,498,1,0.00064681285472361239,16.811893829770931,0.020729989622877983,0.0010342273641226515,1
0,532,498,536,503,1,0.0032300879452277949,16.811893829770931,0.06156865094037843,0.0011981719236942041,1
0,532,498,538,498,1,0.0021324320164700307,16.811893829770931,0.027425936492322212,0.0026798397107053087,1
0,532,498,540,506,1,0.0030243398063919389,16.811893829770931,0.05709817870997725,0.002489512048756643,1
0,532,498,542,509,1,0.0035102422793530865,16.811893829770931,0.064064973775297657,0.0020622413521471051,1
