robot_from,robot_to,key_from,key_to,retained,reason,clique_size
0,2,11,1,1,retained_clique,10
0,2,530,498,1,retained_clique,10
0,2,532,498,1,retained_clique,10
0,2,535,498,1,retained_clique,10
0,2,536,503,1,retained_clique,10
0,2,538,498,1,retained_clique,10
0,2,540,506,1,retained_clique,10
0,2,542,509,1,retained_clique,10
0,2,543,492,1,retained_clique,10
0,2,543,513,1,retained_clique,10
1,2,0,0,1,retained_clique,22
1,2,0,1,1,retained_clique,22
1,2,1,2,1,retained_clique,22
1,2,1,3,1,retained_clique,22
1,2,1,5,1,retained_clique,22
1,2,6,1,1,retained_clique,22
1,2,372,393,1,retained_clique,22
1,2,372,406,1,retained_clique,22
1,2,375,403,1,retained_clique,22
1,2,378,407,1,retained_clique,22
1,2,381,406,1,retained_clique,22
1,2,384,406,1,retained_clique,22
1,2,387,405,1,retained_clique,22
1,2,390,400,1,retained_clique,22
1,2,393,411,1,retained_clique,22
1,2,454,487,1,retained_clique,22
1,2,472,518,1,retained_clique,22
1,2,473,500,1,retained_clique,22
1,2,473,518,1,retained_clique,22
1,2,474,504,1,retained_clique,22
1,2,475,509,1,retained_clique,22
1,2,475,519,1,retained_clique,22
