query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,10,Bob,1,True,accepted,mapclosures,4.556445251653368,True,21,8,0.32486077950634723,0.35392149119342864
Alpha,12,Carol,1,True,accepted,mapclosures,7.294495928655075,True,22,10,0.3412799713734991,0.3515220700152207
Alpha,16,Bob,1,True,accepted,mapclosures,5.837604038850608,True,11,6,0.3230080129836349,0.3195233476513787
Alpha,19,Carol,4,True,accepted,mapclosures,11.906822126939462,False,14,6,0.34938994720630334,0.5364605244706212
Alpha,20,Bob,5,False,high_rmse,mapclosures,9.731822096946566,True,15,13,0.353048445540556,0.552461139896373
Alpha,24,Carol,9,False,high_rmse,mapclosures,18.632203806566014,False,19,11,0.3611959447986967,0.5093371347113329
Alpha,25,Bob,11,True,accepted,mapclosures,13.105396204692322,False,25,14,0.3499957892589832,0.6636109167249825
Alpha,28,Carol,15,True,accepted,mapclosures,25.785740917886976,False,15,6,0.3451639387374265,0.47659358946530644
Alpha,29,Bob,14,False,high_rmse,mapclosures,14.388684254343373,False,16,12,0.3509715427369261,0.6824169530355098
Alpha,29,Bob,15,True,accepted,megaloc+mapclosures,14.091511103106287,False,12,11,0.3452729341452052,0.6861397479954181
Alpha,34,Bob,13,False,high_rmse,mapclosures,17.398407612849677,False,9,6,0.35692399747120324,0.6311684628474191
Alpha,48,Carol,32,False,low_overlap,megaloc,37.15061746588686,False,11,7,0.3303601927911274,0.29938231042186886
Alpha,57,Bob,29,False,mapclosures_no_pose,megaloc,17.276986741554513,False,5,0,,
Alpha,62,Carol,32,False,mapclosures_no_pose,megaloc,38.725412319169024,False,4,3,,
Alpha,68,Bob,46,True,accepted,mapclosures,5.469828189028962,True,12,9,0.31462617695849066,0.6415489678721092
Alpha,70,Carol,19,False,mapclosures_no_pose,megaloc,40.5539436378562,False,10,4,,
Alpha,86,Carol,19,False,mapclosures_no_pose,megaloc,46.12217214383008,False,12,3,,
Alpha,116,Carol,80,False,mapclosures_no_pose,megaloc,20.41954434400605,False,7,5,,
Alpha,120,Carol,19,False,mapclosures_no_pose,megaloc,27.49760758953546,False,8,2,,
Alpha,121,Alpha,65,False,mapclosures_no_pose,megaloc,34.842750958254236,False,3,1,,
Alpha,124,Carol,34,False,mapclosures_no_pose,megaloc,19.12684236025943,False,5,0,,
Alpha,125,Alpha,71,False,mapclosures_no_pose,megaloc,33.887283445300106,False,9,2,,
