query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,0,Carol,0,False,mapclosures_no_pose,megaloc,,,15,4,,
Alpha,1,Bob,0,False,mapclosures_no_pose,megaloc,5.725909988629338,True,18,2,,
Alpha,1,Carol,1,False,high_rmse,megaloc+mapclosures,13.88089722662386,False,14,6,0.36874240231700023,0.3534210088230398
Alpha,2,Bob,1,True,accepted,megaloc+mapclosures,5.734482073713113,True,20,7,0.34524044916936303,0.505060877218718
Alpha,2,Bob,0,True,accepted,megaloc+mapclosures,5.732691300091818,True,13,6,0.3401860028595798,0.4528384920052809
Alpha,3,Carol,1,True,accepted,megaloc+mapclosures,13.91323234856428,False,11,7,0.33822471123402453,0.4242685025817556
Alpha,3,Carol,2,True,accepted,megaloc,13.912302665069507,False,15,11,0.33911028628423573,0.4266351118760757
Alpha,6,Bob,2,True,accepted,mapclosures,6.348646160940986,True,19,13,0.32455400703424797,0.4358740301232314
Alpha,7,Carol,1,True,accepted,mapclosures,15.339570732553826,False,15,8,0.3350757297212218,0.3840893929286191
Alpha,8,Bob,3,True,accepted,mapclosures,8.102926868811068,True,20,11,0.31591229839278234,0.4367219917012448
Alpha,9,Carol,1,True,accepted,mapclosures,17.056208581256694,False,17,7,0.31926050276686063,0.38417372101582625
Alpha,10,Bob,0,True,accepted,mapclosures,9.835161291606404,True,8,7,0.3031156926478542,0.3885719151835136
Alpha,11,Carol,4,True,accepted,mapclosures,18.87955623129153,False,12,7,0.326983537117713,0.38708271594177635
Alpha,13,Bob,3,True,accepted,mapclosures,12.819904626459204,False,19,10,0.3088247031887054,0.4085241626599299
Alpha,16,Bob,0,True,accepted,mapclosures,15.751699346161196,False,14,7,0.29235273527166133,0.32755399446977057
Alpha,25,Carol,7,False,low_overlap,mapclosures,32.87527400774972,False,7,6,0.3366561482937149,0.2863333044457925
Alpha,273,Bob,175,False,high_rmse,mapclosures,,,8,6,0.36863920162928193,0.5682880813715036
Alpha,276,Bob,182,True,accepted,mapclosures,,,13,7,0.3497685202182756,0.5891585760517799
Alpha,279,Bob,169,False,high_rmse,mapclosures,,,10,9,0.3688710791823084,0.6213781714457288
Alpha,283,Bob,175,False,high_rmse,mapclosures,4.7661567781769145,True,25,20,0.36182154108972353,0.6753246753246753
Alpha,289,Bob,175,False,high_rmse,mapclosures,4.697732671989676,True,17,14,0.3596420911129818,0.6919801277501775
Alpha,292,Bob,177,False,high_rmse,mapclosures,3.9198738213675717,True,13,12,0.3633267118440552,0.6829306681356733
Alpha,294,Bob,175,False,high_rmse,mapclosures,,,11,10,0.3682543413047146,0.6707930367504835
Alpha,295,Bob,175,False,high_rmse,mapclosures,,,11,9,0.3688359514959205,0.6513001394471332
Alpha,296,Bob,182,True,accepted,mapclosures,,,15,10,0.328743765342031,0.6807841839688974
Alpha,297,Bob,182,True,accepted,mapclosures,,,9,6,0.32725994207093706,0.5636529076019522
Alpha,299,Bob,181,True,accepted,mapclosures,,,11,7,0.3391911703814021,0.45554281971508104
Alpha,304,Bob,182,False,high_rmse,mapclosures,6.898858843416307,True,16,14,0.36269228843042917,0.6563818347257838
Alpha,306,Bob,180,False,high_rmse,mapclosures,,,10,9,0.3619100146039777,0.6832108349161781
Alpha,309,Bob,180,False,high_rmse,mapclosures,,,10,8,0.36122698235247913,0.6661161119828227
Alpha,311,Bob,182,False,high_rmse,mapclosures,,,7,7,0.3626926784010458,0.6452973777814542
Alpha,313,Bob,180,True,accepted,mapclosures,9.956703813051647,True,13,8,0.34549184018299245,0.597572053844248
Alpha,316,Bob,184,False,high_rmse,mapclosures,14.639371955043462,False,9,8,0.3543796360564667,0.5125531737425973
Bob,0,Alpha,0,False,high_rmse,megaloc+mapclosures,5.726591645344476,True,19,7,0.36252813896203595,0.4635026366916459
Bob,0,Carol,0,False,high_rmse,megaloc+mapclosures,,,15,6,0.3662875761227967,0.4224238194929053
Bob,1,Alpha,1,False,high_rmse,megaloc+mapclosures,5.727690755202362,True,20,8,0.3678397696663736,0.5023706452277881
Bob,1,Carol,2,False,high_rmse,megaloc+mapclosures,8.159630365716001,True,14,7,0.3678854433155665,0.4292961318960051
Bob,2,Carol,1,False,high_rmse,megaloc+mapclosures,8.161287326771037,True,16,9,0.36483659314084543,0.44098551689695353
Bob,2,Carol,2,False,high_rmse,megaloc+mapclosures,8.160364883475552,True,17,7,0.3657316927597479,0.437856689917565
Bob,3,Carol,1,False,high_rmse,megaloc+mapclosures,8.163850884221258,True,22,13,0.3631515634074308,0.4411519893457633
Bob,3,Carol,2,False,high_rmse,megaloc+mapclosures,8.162925748100868,True,17,8,0.3660662349963509,0.4348446417247939
Bob,4,Carol,2,False,high_rmse,megaloc+mapclosures,8.161583135169732,True,18,9,0.3663234170174153,0.42945466074825617
Bob,4,Carol,5,False,high_rmse,megaloc,8.158105586967334,True,21,10,0.36127168531716886,0.4503518373729476
Bob,5,Carol,2,False,high_rmse,megaloc+mapclosures,8.163262902402053,True,19,13,0.3695506691105106,0.43912492073557385
Bob,5,Carol,5,False,high_rmse,megaloc+mapclosures,8.159786160707291,True,15,9,0.3660699821509932,0.44315871774824084
Bob,6,Carol,7,False,high_rmse,megaloc+mapclosures,8.157145932400208,True,16,8,0.3680835291881176,0.4540808424965154
Bob,6,Carol,5,False,high_rmse,megaloc,8.15804769784852,True,19,9,0.36779889048095654,0.4392494136043784
Bob,7,Carol,8,False,high_rmse,megaloc+mapclosures,8.15777802859721,True,13,6,0.3645305411154598,0.45016865992026983
Bob,7,Alpha,7,False,high_rmse,mapclosures,7.235982382865797,True,13,8,0.3770176374119236,0.44904936624416275
Bob,8,Carol,1,False,high_rmse,megaloc+mapclosures,8.16178341043806,True,18,12,0.362121811410489,0.4314965873147994
Bob,8,Carol,8,False,high_rmse,megaloc+mapclosures,8.16070212532136,True,15,9,0.3656496324112112,0.4348359398957375
Bob,9,Carol,8,False,high_rmse,megaloc,8.159913465591709,True,20,7,0.36926490262759426,0.4237963814780742
Bob,9,Alpha,5,False,high_rmse,mapclosures,5.928954982155223,True,11,8,0.3741209212860517,0.47897523750194676
Bob,10,Alpha,1,True,accepted,megaloc+mapclosures,5.70787127566286,True,15,10,0.33919945953902664,0.3999424128995105
