iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,51,0,50,0,2.026732,0.378729,0.000344,0.004568,2.785408
2,0,0,0,0,2.972978,0.308256,0.000543,0.000349,3.289964
3,0,0,0,0,1.139750,0.250830,0.000330,0.000306,1.398030
4,0,0,0,0,1.356810,0.400264,0.000413,0.000364,1.765288
5,0,0,0,0,1.494723,0.426053,0.000492,0.000508,1.930609
6,0,0,0,0,1.576645,0.482133,0.000518,0.000663,2.071507
7,0,0,0,0,1.564204,0.405384,0.000581,0.000389,1.978796
8,0,0,0,0,1.360918,0.809181,0.000462,0.000543,2.179430
9,0,0,0,0,0.705296,0.224062,0.000223,0.000269,0.935517
10,0,0,0,0,0.714859,0.243492,0.000116,0.000300,0.964677
11,0,0,0,0,0.688979,0.247288,0.000388,0.000276,0.942213
12,0,0,0,0,2.139680,0.442716,0.000494,0.000347,2.592956
13,0,0,0,0,0.896269,0.290695,0.000320,0.000315,1.193714
14,0,0,0,0,0.959089,0.304757,0.000280,0.000313,1.271213
15,0,0,0,0,1.209337,0.325445,0.000454,0.000337,1.542455
16,0,0,0,0,1.573371,0.301562,0.000473,0.000463,1.884122
17,0,0,0,0,1.528516,0.396494,0.000468,0.000369,1.934002
18,0,0,0,0,1.295651,0.384147,0.000405,0.000399,1.688981
19,0,0,0,0,1.563539,0.423547,0.000467,0.000431,1.997375
20,0,0,0,0,0.745646,0.347099,0.000220,0.000293,1.098714
21,0,0,0,0,1.408239,0.354482,0.000738,0.000368,1.772471
22,0,0,0,0,1.414905,0.523638,0.000883,0.000547,1.949598
23,0,0,0,0,0.408890,0.166185,0.000227,0.000316,0.579549
24,0,0,0,0,0.950388,0.297001,0.000479,0.000375,1.255486
25,0,0,0,0,0.821654,0.425647,0.000429,0.000475,1.255463
26,0,0,0,0,0.933796,0.447398,0.000377,0.000386,1.388986
27,0,0,0,0,0.979374,0.248993,0.000342,0.000325,1.235731
28,0,0,0,0,0.887559,0.233646,0.000316,0.000272,1.127963
29,0,0,0,0,1.182341,0.249913,0.000403,0.000455,1.439760
30,0,0,0,0,0.849035,0.293353,0.000300,0.000376,1.149009
31,0,0,0,0,0.596344,0.222948,0.000406,0.000415,0.825158
32,0,0,0,0,1.002959,0.425399,0.000558,0.000498,1.435756
33,0,0,0,0,0.704114,0.237404,0.000224,0.000309,0.947612
34,0,0,0,0,1.372668,0.700008,0.000479,0.000515,2.082218
35,0,0,0,0,0.645123,0.256717,0.000493,0.000268,0.907527
36,0,0,0,0,0.523131,0.213659,0.000276,0.000249,0.741513
37,0,0,0,0,0.951321,0.334340,0.000358,0.000343,1.293912
38,0,0,0,0,1.021329,0.383460,0.000376,0.000366,1.412274
39,0,0,0,0,0.739773,0.265115,0.000301,0.000330,1.011065
40,0,0,0,0,0.792879,0.290673,0.000311,0.000320,1.090958
41,0,0,0,0,0.843104,0.319518,0.000532,0.000468,1.169326
42,0,0,0,0,0.920913,0.350782,0.000386,0.000385,1.279070
43,0,0,0,0,0.477972,0.174575,0.000213,0.000263,0.656981
44,0,0,0,0,1.217570,0.474553,0.000480,0.000474,1.701454
45,0,0,0,0,0.802225,0.194755,0.000306,0.000260,1.003272
46,0,0,0,0,0.596683,0.235164,0.000240,0.000305,0.837715
47,0,0,0,0,0.784996,0.314604,0.000524,0.000472,1.106145
48,0,0,0,0,0.795693,0.344673,0.000589,0.000347,1.146947
49,0,0,0,0,0.492770,0.170369,0.000153,0.000234,0.667197
50,0,0,0,0,1.298204,0.471529,0.000495,0.000611,1.779772
51,0,0,0,0,1.306411,0.421721,0.000457,0.000536,1.737432
52,0,0,0,0,1.328210,0.414325,0.000477,0.000423,1.753200
53,0,0,0,0,1.069258,0.406330,0.000413,0.000302,1.483510
54,0,0,0,0,0.707317,0.273448,0.000431,0.000477,0.988197
55,0,0,0,0,0.986386,0.365914,0.000429,0.000357,1.361092
56,0,0,0,0,0.705557,0.289872,0.000425,0.000422,1.002786
57,0,0,0,0,0.727418,0.276625,0.000328,0.000294,1.010928
58,0,0,0,0,0.568598,0.208936,0.000216,0.000259,0.783136
59,0,0,0,0,1.067246,0.398576,0.000483,0.000401,1.474125
60,0,0,0,0,0.818973,0.357751,0.000276,0.000407,1.184386
61,0,0,0,0,0.409569,0.154075,0.000161,0.000646,0.568370
62,0,0,0,0,1.125241,0.391053,0.000467,0.000448,1.525534
63,0,0,0,0,1.260572,0.420406,0.000471,0.000677,1.691066
64,0,0,0,0,0.516262,0.200129,0.000341,0.000248,0.723179
65,0,0,0,0,0.954837,0.320410,0.000339,0.000326,1.283567
66,0,0,0,0,1.118351,0.421926,0.000455,0.000517,1.550526
67,0,0,0,0,0.670055,0.202004,0.000217,0.000405,0.876431
68,0,0,0,0,1.175949,0.270579,0.000249,0.000287,1.453415
69,0,0,0,0,0.586491,0.240159,0.000412,0.000532,0.832312
70,0,0,0,0,0.810398,0.318117,0.000360,0.000327,1.135191
71,0,0,0,0,0.782647,0.270606,0.000287,0.000310,1.059292
72,0,0,0,0,0.779408,0.300284,0.000303,0.000342,1.086305
73,0,0,0,0,1.047803,0.364502,0.000379,0.000372,1.420569
74,0,0,0,0,0.990709,0.449627,0.000601,0.000592,1.449510
75,0,0,0,0,1.094846,0.390570,0.000437,0.000388,1.493996
76,0,0,0,0,0.595506,0.234285,0.000344,0.000272,0.835381
77,0,0,0,0,1.321561,0.538150,0.000604,0.000496,1.871025
78,0,0,0,0,0.712985,0.269007,0.000263,0.000308,0.988264
79,0,0,0,0,0.816050,0.352985,0.000452,0.000362,1.176607
80,0,0,0,0,0.924776,0.361513,0.000417,0.000386,1.295313
81,0,0,0,0,0.604024,0.232364,0.000485,0.000383,0.850899
82,0,0,0,0,1.068291,0.405275,0.000530,0.000449,1.482618
83,0,0,0,0,0.847807,0.336201,0.000413,0.000370,1.191289
84,0,0,0,0,1.160754,0.447277,0.000559,0.000490,1.618060
85,0,0,0,0,1.360702,0.417649,0.000485,0.000393,1.786701
86,0,0,0,0,0.912224,0.345582,0.000215,0.000300,1.265066
87,0,0,0,0,1.161187,0.439218,0.000436,0.000413,1.610970
88,0,0,0,0,0.763982,0.313093,0.000323,0.000325,1.084055
89,0,0,0,0,1.065908,0.388827,0.000452,0.000441,1.464267
90,0,0,0,0,0.968074,0.383273,0.000422,0.000379,1.359586
91,0,0,0,0,1.272673,0.455910,0.000442,0.000438,1.737646
92,0,0,0,0,0.721089,0.285329,0.000340,0.000310,1.013680
93,0,0,0,0,0.725882,0.275206,0.000284,0.000272,1.007725
94,0,0,0,0,0.572190,0.233137,0.000215,0.000248,0.811369
95,0,0,0,0,0.826580,0.293405,0.000311,0.000301,1.127342
96,0,0,0,0,1.040016,0.430467,0.000489,0.000400,1.478633
97,0,0,0,0,0.861326,0.296956,0.000292,0.000326,1.164499
98,0,0,0,0,0.736812,0.302791,0.000303,0.000299,1.046228
99,0,0,0,0,1.293130,0.437624,0.000486,0.000437,1.740862
