i_robot,i_key,j_robot,j_key,measured_distance_m,gt_distance_m,absolute_discrepancy_m,gt_checkable,flag_over_2m
Alpha,2,Bob,0,4.252045577668215,4.753327750614701,0.5012821729464854,True,False
Alpha,7,Bob,14,3.249192278547361,3.4967605419841785,0.24756826343681748,True,False
Alpha,9,Bob,11,3.0601789216283133,3.428534405597409,0.3683554839690957,True,False
Alpha,26,Bob,31,8.182135032320922,8.655189652708044,0.4730546203871224,True,False
Alpha,528,Carol,497,3.349248657696341,5.6132799771376956,2.2640313194413544,True,True
Alpha,531,Bob,472,6.033262980464087,2.8307384151324313,3.202524565331656,True,True
Alpha,532,Carol,503,3.453195932572551,4.888016313654437,1.4348203810818858,True,False
Alpha,533,Bob,476,3.9537635438669025,1.6894763319702826,2.2642872118966197,True,True
Alpha,534,Bob,475,3.581685824576129,0.5646793225352797,3.017006502040849,True,True
Alpha,536,Carol,505,4.188599227677054,5.019856035721375,0.831256808044321,True,False
Alpha,537,Bob,477,2.5124219848132046,3.1239163988652017,0.6114944140519971,True,False
Alpha,538,Carol,507,5.247397544335671,4.914762307470657,0.3326352368650145,True,False
Alpha,539,Bob,472,3.5385463886412616,2.002927599762844,1.5356187888784176,True,False
Alpha,541,Bob,477,2.4870638752631775,3.9459245051784553,1.4588606299152778,True,False
Bob,0,Carol,0,3.3884050286912006,3.283301439648984,0.1051035890422165,True,False
Bob,0,Carol,1,3.311478644515146,3.284138728316461,0.02733991619868492,True,False
Bob,0,Carol,2,3.307755845204302,3.2855322119649157,0.022223633239386142,True,False
Bob,13,Carol,3,8.281317074082729,8.614479460413131,0.33316238633040207,True,False
Bob,370,Carol,403,7.790283815014777,8.12116719840594,0.3308833833911633,True,False
Bob,373,Carol,406,2.2694013532879094,2.956935392320246,0.6875340390323368,True,False
Bob,376,Carol,409,4.429564070751219,4.7067177461931005,0.2771536754418813,True,False
Bob,379,Carol,407,4.763786617423332,4.795987599926416,0.032200982503084674,True,False
Bob,382,Carol,408,8.572347324341939,8.385818495789172,0.18652882855276687,True,False
Bob,385,Carol,403,8.056635057396925,7.696578078289815,0.3600569791071093,True,False
Bob,388,Carol,402,10.651857477628559,10.36391715864183,0.28794031898672934,True,False
Bob,391,Carol,383,18.26357742437121,17.835904143275098,0.42767328109611213,True,False
Bob,394,Carol,419,23.166443675927734,23.100477196980062,0.06596647894767216,True,False
Bob,474,Carol,500,7.640848415527309,7.93396206907971,0.2931136535524015,True,False
Bob,474,Carol,518,2.46335340623645,2.522046616206142,0.058693209969692184,True,False
