request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
1,2,98,1,5,10,5,5,local,0.000060,0.461688,0.233363,0.002612,0.697723
2,2,98,1,6,14,7,5,local,0.000043,0.427967,0.153374,0.002620,0.584004
3,3,98,1,6,14,7,0,local,0.000047,0.427304,0.164017,0.000031,0.591399
4,4,98,1,6,14,7,0,local,0.000041,0.434925,0.216878,0.000050,0.651894
5,5,98,1,6,14,7,0,local,0.000036,0.419532,0.142742,0.000029,0.562339
6,6,98,1,6,14,7,0,local,0.000148,0.372579,0.201533,0.000045,0.574305
7,7,98,1,6,14,7,0,local,0.000072,0.594089,0.188983,0.000032,0.783176
8,8,98,1,6,14,7,0,local,0.000143,0.529223,0.490649,0.000048,1.020063
9,9,98,1,6,14,7,0,local,0.000044,0.382168,0.176928,0.000037,0.559177
10,10,98,0,0,0,4,1,global,0.000242,0.355209,0.046297,0.000844,0.402592
11,11,98,0,0,0,4,1,global,0.000216,0.354539,0.050556,0.001033,0.406344
12,12,98,0,0,0,4,0,global,0.000318,0.322924,0.053211,0.000029,0.376482
13,13,98,0,0,0,4,0,global,0.000150,0.336273,0.045881,0.000029,0.382333
14,14,98,0,0,0,4,0,global,0.000044,0.399177,0.063700,0.000040,0.462961
15,15,98,0,0,0,4,0,global,0.000146,0.336922,0.050817,0.000031,0.387916
16,16,98,0,0,0,4,0,global,0.000105,0.393311,0.064550,0.000029,0.457995
17,17,98,0,0,0,4,0,global,0.000120,0.330312,0.050260,0.000031,0.380723
18,18,98,0,0,0,4,0,global,0.000056,0.450453,0.064649,0.000035,0.515193
19,19,98,0,0,0,4,0,global,0.000062,0.409041,0.063485,0.000030,0.472618
20,20,98,1,6,14,7,0,local,0.000043,0.395065,0.189359,0.000042,0.584509
21,21,98,1,6,14,7,0,local,0.000213,0.331854,0.134456,0.000028,0.466551
22,22,98,1,6,14,7,0,local,0.000151,0.316625,0.140139,0.000030,0.456945
23,23,98,1,6,14,7,0,local,0.000046,0.434949,0.179496,0.000027,0.614518
24,24,98,1,6,14,7,0,local,0.000044,0.374614,0.400573,0.000041,0.775272
25,25,98,1,6,14,7,0,local,0.000179,0.329092,0.152196,0.000030,0.481497
26,26,98,1,6,14,7,0,local,0.000044,0.368170,0.181629,0.000030,0.549873
27,27,98,1,6,14,7,0,local,0.000164,0.522372,0.139294,0.000030,0.661860
28,28,98,1,6,14,7,0,local,0.000079,0.876547,0.319289,0.000044,1.195959
29,29,98,1,6,14,7,0,local,0.000246,0.323456,0.139253,0.000029,0.462984
30,30,98,0,0,0,4,0,global,0.000157,0.347532,0.051543,0.000030,0.399262
31,31,98,0,0,0,4,0,global,0.000198,0.336466,0.052813,0.000030,0.389507
32,32,98,0,0,0,4,0,global,0.000064,0.684334,0.053985,0.000040,0.738423
33,33,98,0,0,0,4,0,global,0.000069,0.395184,0.069552,0.000033,0.464838
34,34,98,0,0,0,4,0,global,0.000046,0.411398,0.089608,0.000044,0.501096
35,35,98,0,0,0,4,0,global,0.000201,0.343660,0.051516,0.000031,0.395408
36,36,98,0,0,0,4,0,global,0.000227,0.337939,0.052459,0.000029,0.390654
37,37,98,0,0,0,4,0,global,0.000149,0.322596,0.052907,0.000030,0.375682
38,38,98,0,0,0,4,0,global,0.000151,0.358134,0.054136,0.000032,0.412453
39,39,98,0,0,0,4,0,global,0.000136,0.328570,0.051157,0.000031,0.379894
40,40,98,1,6,14,7,0,local,0.000158,0.324117,0.136315,0.000030,0.460620
41,41,98,1,6,14,7,0,local,0.000154,0.290008,0.147526,0.000030,0.437718
