iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,57,0,54,0,4.706185,0.303765,0.000225,0.002388,28.486246
2,0,0,0,0,7.249558,0.283096,0.000202,0.000092,7.567328
3,0,0,0,0,2.749807,0.283407,0.000192,0.000082,3.038124
4,0,0,0,0,2.608811,0.263758,0.000239,0.000225,2.875951
5,0,0,0,0,2.615785,0.277621,0.000194,0.000101,2.897499
6,0,0,0,0,5.714166,0.287267,0.000195,0.000088,6.006396
7,0,0,0,0,3.003480,0.278011,0.000226,0.000192,3.290626
8,0,0,0,0,2.579015,0.299803,0.000185,0.000080,2.881738
9,0,0,0,0,3.597478,0.321501,0.000164,0.000091,3.921935
10,0,0,0,0,3.006641,0.271340,0.000207,0.000081,3.281192
11,0,0,0,0,3.922362,0.316702,0.000243,0.000095,4.242061
12,0,0,0,0,2.461459,0.257887,0.000228,0.000091,2.722243
13,0,0,0,0,3.886361,1.409392,0.000148,0.000194,5.298969
14,0,0,0,0,2.541156,0.268992,0.000184,0.000082,2.812454
15,0,0,0,0,2.584824,0.265342,0.000195,0.000186,2.854177
16,0,0,0,0,3.564050,0.327646,0.000157,0.000079,3.894635
17,0,0,0,0,3.874324,0.280061,0.000208,0.000091,4.163685
18,0,0,0,0,2.671873,0.275538,0.000196,0.000101,2.950219
19,0,0,0,0,3.613256,0.341370,0.000199,0.000215,3.958030
20,0,0,0,0,2.576049,0.278254,0.000188,0.000089,2.857015
21,0,0,0,0,3.114324,0.276108,0.000201,0.000196,3.393193
22,0,0,0,0,2.491958,0.270538,0.000219,0.000094,2.765192
23,0,0,0,0,2.514542,0.275361,0.000340,0.000081,2.792630
24,0,0,0,0,2.600003,0.272225,0.000171,0.000089,2.875937
25,0,0,0,0,6.894906,0.274985,0.000204,0.000193,7.178659
26,0,0,0,0,3.320689,0.274429,0.000216,0.000177,3.603503
27,0,0,0,0,2.575225,0.277325,0.000191,0.000095,2.856610
28,0,0,0,0,2.690746,0.270730,0.000217,0.000094,2.965879
29,0,0,0,0,2.532400,0.271331,0.000221,0.000097,2.806395
30,0,0,0,0,4.076825,0.347988,0.000151,0.000067,4.427548
31,0,0,0,0,6.335295,0.273738,0.000372,0.000196,6.617909
32,0,0,0,0,2.530947,0.273283,0.000191,0.000190,2.806950
33,0,0,0,0,2.570834,0.274914,0.000189,0.000080,2.850265
34,0,0,0,0,3.440198,0.283167,0.000376,0.000093,3.726576
35,0,0,0,0,2.707235,0.289097,0.000192,0.000093,2.998972
36,0,0,0,0,2.527193,0.276476,0.000239,0.000098,2.806736
37,0,0,0,0,2.582470,0.283301,0.000211,0.000188,2.870138
38,0,0,0,0,2.580616,0.281875,0.000212,0.000082,2.866409
39,0,0,0,0,2.628229,0.282473,0.000199,0.000188,2.913655
40,0,0,0,0,2.810956,0.273270,0.000212,0.000191,3.093532
41,0,0,0,0,3.350361,0.273167,0.000221,0.000081,3.626156
42,0,0,0,0,2.585011,0.284110,0.000197,0.000192,2.872008
43,0,0,0,0,2.538153,0.270493,0.000208,0.000096,2.811255
44,0,0,0,0,2.603289,0.272085,0.000209,0.000090,2.877983
45,0,0,0,0,2.567131,0.277616,0.000204,0.000083,2.847702
46,0,0,0,0,2.598072,0.281622,0.000208,0.000088,2.882079
47,0,0,0,0,2.729303,0.299963,0.000209,0.000102,3.032345
48,0,0,0,0,2.847226,0.299499,0.000212,0.000096,3.154662
49,0,0,0,0,2.586809,0.278882,0.000188,0.000081,2.868494
50,0,0,0,0,2.454107,0.269774,0.000390,0.000095,2.726638
51,0,0,0,0,2.573714,0.273407,0.000192,0.000192,2.849883
52,0,0,0,0,2.570933,0.289130,0.000191,0.000092,2.863171
53,0,0,0,0,2.720967,0.279935,0.000203,0.000084,3.004126
54,0,0,0,0,2.667527,0.322467,0.000191,0.000077,3.001032
55,0,0,0,0,2.576775,0.279472,0.000188,0.000096,2.858813
56,0,0,0,0,2.577146,0.287362,0.000168,0.000088,2.867426
57,0,0,0,0,2.574664,0.306826,0.000184,0.000186,2.886274
58,0,0,0,0,2.515202,0.276772,0.000209,0.000094,2.794416
59,0,0,0,0,2.552540,0.275547,0.000188,0.000092,2.832190
60,0,0,0,0,2.642502,0.291989,0.000216,0.000194,2.939093
61,0,0,0,0,2.619685,0.279804,0.000138,0.000080,2.903717
62,0,0,0,0,2.569900,0.274868,0.000207,0.000095,2.848171
63,0,0,0,0,2.554028,0.272796,0.000288,0.000298,2.829815
64,0,0,0,0,2.571243,0.291925,0.000215,0.000190,2.867476
65,0,0,0,0,2.671842,0.284695,0.000212,0.000082,2.960564
66,0,0,0,0,2.644328,0.294508,0.000178,0.000094,2.941768
67,0,0,0,0,2.521147,0.269748,0.000208,0.000078,2.793379
68,0,0,0,0,3.192722,0.276211,0.000215,0.000099,3.476039
69,0,0,0,0,2.862761,0.327948,0.000193,0.000085,3.193895
70,0,0,0,0,2.580150,0.277039,0.000192,0.000186,2.860357
71,0,0,0,0,3.381984,0.272373,0.000371,0.000204,3.658924
72,0,0,0,0,3.063482,0.292527,0.000205,0.000093,3.364863
73,0,0,0,0,2.650582,0.288573,0.000187,0.000087,2.942144
74,0,0,0,0,2.641718,0.318164,0.000193,0.000090,2.962919
75,0,0,0,0,2.658766,0.280928,0.000191,0.000080,2.943860
76,0,0,0,0,3.181187,0.281883,0.000213,0.000190,3.467762
77,0,0,0,0,2.691557,0.297501,0.000195,0.000080,2.994223
