request,iteration,requester_agent_id,include_agent_keys,explicit_key_count,compact_key_bytes,resolved_key_count,returned_belief_count,marginalization_graph,lock_wait_ms,prepare_request_ms,get_beliefs_ms,pack_response_ms,callback_ms
1,1,99,1,0,0,4,4,local,66.409954,8.255576,0.150333,0.002346,74.818209
2,2,99,1,1,6,6,4,local,0.000072,8.644940,0.099344,0.002026,8.746382
3,3,99,1,1,6,6,0,local,0.000156,9.630343,0.175836,0.000034,9.806369
4,4,99,1,1,6,6,0,local,0.000150,10.390319,0.128641,0.000042,10.519152
5,5,99,1,1,6,6,0,local,0.000052,9.269219,0.127073,0.000042,9.396386
6,6,99,1,1,6,6,0,local,0.000258,10.847512,0.607341,0.000042,11.455153
7,7,99,1,1,6,6,0,local,0.000069,8.412688,0.124498,0.000038,8.537293
8,8,99,1,1,6,6,0,local,0.000058,8.247877,0.115799,0.000041,8.363775
9,9,99,1,1,6,6,0,local,0.000058,12.371412,0.126678,0.000031,12.498179
10,10,99,0,0,0,4,1,global,0.000062,11.225187,0.060416,0.001040,11.286705
11,11,99,0,0,0,4,1,global,0.000203,10.357636,0.067582,0.001301,10.426722
12,12,99,0,0,0,4,0,global,0.000067,8.540279,0.062090,0.000030,8.602466
13,13,99,0,0,0,4,0,global,0.000076,8.118148,0.063924,0.000034,8.182182
14,14,99,0,0,0,4,0,global,0.000236,8.326823,0.068784,0.000037,8.395880
15,15,99,0,0,0,4,0,global,0.000145,10.631256,0.068647,0.000031,10.700079
16,16,99,0,0,0,4,0,global,0.000153,8.427558,0.068037,0.000031,8.495779
17,17,99,0,0,0,4,0,global,0.000161,8.439157,0.072776,0.000031,8.512125
18,18,99,0,0,0,4,0,global,0.000252,11.276692,0.073363,0.000030,11.350337
19,19,99,0,0,0,4,0,global,0.000071,8.261486,0.060487,0.000031,8.322075
20,20,99,1,1,6,6,0,local,0.000271,8.476301,0.134833,0.000029,8.611434
21,21,99,1,1,6,6,0,local,0.000176,9.449603,0.151421,0.000034,9.601234
22,22,99,1,1,6,6,0,local,0.000162,11.205072,0.363890,0.000038,11.569162
23,23,99,1,1,6,6,0,local,0.000146,10.539066,0.122626,0.000031,10.661869
24,24,99,1,1,6,6,0,local,0.000172,10.109599,0.349308,0.000038,10.459117
25,25,99,1,1,6,6,0,local,0.000166,10.921473,0.143431,0.000030,11.065100
26,26,99,1,1,6,6,0,local,0.000160,11.448772,0.133346,0.000030,11.582308
27,27,99,1,1,6,6,0,local,0.000060,8.324383,0.133670,0.000031,8.458144
28,28,99,1,1,6,6,0,local,0.000115,8.221448,0.116315,0.000029,8.337907
29,29,99,1,1,6,6,0,local,0.000271,9.919509,0.362608,0.000036,10.282424
