query,candidate,original_reason,original_rmse_m,fixed_04m_reason,fixed_04m_rmse_m,original_transform_dense_rmse_m,original_transform_dense_overlap
aerial06/6,aerial06/3,high_rmse,0.41871532828054764,accepted,0.2559563571977375,0.2575725973017478,0.5705720463927658
aerial06/8,aerial06/1,high_rmse,0.41667534203674605,accepted,0.27820979537553486,0.278646785858952,0.7516451558121763
aerial06/9,aerial06/1,high_rmse,0.4190781081624576,accepted,0.27219421868884425,0.2734988425715152,0.7270707210365703
aerial06/10,aerial06/0,high_rmse,0.4121455520044923,accepted,0.28289868533696355,0.29597823641418103,0.5014001902145198
aerial07/0,aerial06/0,high_rmse,0.41629420428200753,accepted,0.2499156474364709,0.25150058056021113,0.8209936066786432
aerial07/1,aerial06/0,high_rmse,0.4161673484600727,accepted,0.2478349936975814,0.2510750729122995,0.630990436436648
aerial07/12,aerial05/13,low_overlap,0.42946686086291946,low_overlap,0.37273127171222453,0.3606051514638924,0.09254254966102499
aerial08/0,aerial07/14,low_overlap,0.4598385851905599,low_overlap,0.3724299040087135,0.3685546942054893,0.13982056837920598
aerial08/9,aerial07/4,high_rmse,0.42306612970552315,accepted,0.2883459565651504,0.29066247516192195,0.647844320188346
aerial08/13,aerial06/1,high_rmse,0.4113603808468906,high_rmse,0.354471186456475,0.2871309298451055,0.512883059936597
aerial08/14,aerial06/9,low_overlap,0.4030309693193736,accepted,0.2710540912916009,0.2717322551633317,0.3557654423674649
