iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,16,0,15,0,0.476931,0.152262,0.000394,0.003445,0.804253
2,0,0,0,0,0.169374,0.068818,0.000175,0.000179,0.241563
3,0,0,0,0,0.209971,0.241203,0.000300,0.000322,0.457594
4,0,0,0,0,0.206779,0.093734,0.000218,0.000306,0.305873
5,0,0,0,0,0.208880,0.273636,0.000313,0.000403,0.488304
6,0,0,0,0,0.386314,0.157307,0.000369,0.000385,0.550864
7,0,0,0,0,0.157117,0.063870,0.000194,0.000185,0.224347
8,0,0,0,0,0.173654,0.081697,0.000218,0.000274,0.260863
9,0,0,0,0,0.200839,0.115582,0.000277,0.000352,0.321899
10,0,0,0,0,0.224773,0.061630,0.000187,0.000076,0.292194
11,0,0,0,0,0.539505,0.218167,0.000570,0.000311,0.764991
12,0,0,0,0,0.169153,0.085822,0.000408,0.000297,0.259774
13,0,0,0,0,0.582167,0.183079,0.000511,0.000474,0.772782
14,0,0,0,0,0.198658,0.072550,0.000264,0.000191,0.274955
15,0,0,0,0,0.439185,0.062547,0.000196,0.000076,0.507396
16,0,0,0,0,0.178621,0.081200,0.000280,0.000279,0.264641
17,0,0,0,0,0.171473,0.074801,0.000166,0.000274,0.250268
18,0,0,0,0,0.401514,0.069579,0.000182,0.000203,0.475324
19,0,0,0,0,0.174885,0.073119,0.000237,0.000079,0.251751
20,0,0,0,0,0.493429,0.192120,0.000522,0.000473,0.692810
21,0,0,0,0,0.215187,0.251489,0.000519,0.000460,0.472674
22,0,0,0,0,0.188541,0.078922,0.000274,0.000405,0.271651
23,0,0,0,0,0.147480,0.063285,0.000212,0.000082,0.213690
24,0,0,0,0,0.178950,0.070038,0.000178,0.000353,0.253494
25,0,0,0,0,0.170995,0.064305,0.000185,0.000085,0.239301
26,0,0,0,0,0.164014,0.074482,0.000271,0.000275,0.241455
27,0,0,0,0,0.165305,0.068870,0.000279,0.000172,0.237903
28,0,0,0,0,0.442785,0.066029,0.000395,0.000212,0.521492
29,0,0,0,0,0.161867,0.064502,0.000184,0.000177,0.229858
30,0,0,0,0,0.529390,0.219592,0.000547,0.000538,0.756978
31,0,0,0,0,0.176872,0.076020,0.000286,0.000276,0.257473
32,0,0,0,0,0.187850,0.078622,0.000264,0.000330,0.270692
33,0,0,0,0,0.188609,0.084391,0.000357,0.000385,0.277606
