query,candidate,reason,rmse_m,overlap,initial_overlap,orb_inliers
aerial07/0,aerial06/0,high_rmse,0.41629420428200753,0.349859747545582,0.36164932709745157,19
aerial07/1,aerial06/0,high_rmse,0.4161673484600727,0.3419215025282928,0.3323470459100888,16
aerial07/12,aerial05/13,low_overlap,0.42946686086291946,0.05257442187300371,0.18763479511143064,8
aerial06/6,aerial06/3,high_rmse,0.41871532828054764,0.4320489373778142,0.8054529239393553,7
aerial06/8,aerial06/1,high_rmse,0.41667534203674605,0.41595092024539876,0.5986094069529653,10
aerial06/9,aerial06/1,high_rmse,0.4190781081624576,0.3882208588957055,0.5574642126789366,14
aerial06/10,aerial06/0,high_rmse,0.4121455520044923,0.3050289144279335,0.3550634723680443,9
aerial08/0,aerial07/14,low_overlap,0.4598385851905599,0.051365795724465556,0.16880437707417706,6
aerial08/9,aerial07/4,high_rmse,0.42306612970552315,0.3205056572146948,0.38741648924454886,6
aerial08/13,aerial06/1,high_rmse,0.4113603808468906,0.33404372336037397,0.21758691206543967,6
aerial08/14,aerial06/9,low_overlap,0.4030309693193736,0.2531905842314237,0.1406167864026634,8
