iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,54,0,53,0,0.793125,0.196161,0.000353,0.002243,1.142619
2,0,0,0,0,0.591509,0.147307,0.000251,0.000175,0.743160
3,0,0,0,0,0.416443,0.124298,0.000250,0.000078,0.544133
4,0,0,0,0,0.435906,0.132448,0.000270,0.000186,0.572308
5,0,0,0,0,0.427697,0.126631,0.000266,0.000336,0.560011
6,0,0,0,0,0.365500,0.109903,0.000195,0.000088,0.478527
7,0,0,0,0,0.418102,0.124649,0.000273,0.000098,0.546581
8,0,0,0,0,0.384828,0.115260,0.000260,0.000316,0.503661
9,0,0,0,0,0.568495,0.203856,0.000150,0.000179,0.775769
10,0,0,0,0,0.422178,0.128575,0.000272,0.000075,0.554256
11,0,0,0,0,0.351871,0.107479,0.000382,0.000182,0.462999
12,0,0,0,0,0.429284,0.131213,0.000142,0.000079,0.564094
13,0,0,0,0,0.477910,0.125799,0.000275,0.000098,0.607213
14,0,0,0,0,0.429104,0.128171,0.000285,0.000076,0.561079
15,0,0,0,0,0.419770,0.127851,0.000258,0.000072,0.551287
16,0,0,0,0,0.436266,0.134406,0.000244,0.000099,0.574595
17,0,0,0,0,0.365028,0.106448,0.000210,0.000078,0.474889
18,0,0,0,0,0.421640,0.128706,0.000315,0.000080,0.554503
19,0,0,0,0,0.414149,0.125818,0.000260,0.000093,0.543409
20,0,0,0,0,0.367685,0.117764,0.000323,0.000279,0.490017
21,0,0,0,0,0.416556,0.125512,0.000396,0.000093,0.545584
22,0,0,0,0,0.313177,0.118063,0.000383,0.000189,0.435437
23,0,0,0,0,0.396246,0.129208,0.000366,0.000086,0.529220
24,0,0,0,0,0.373446,0.109376,0.000203,0.000186,0.486319
25,0,0,0,0,0.323548,0.129770,0.000151,0.000082,0.456617
26,0,0,0,0,0.367820,0.131063,0.000202,0.000205,0.503186
27,0,0,0,0,0.336713,0.129798,0.000144,0.000078,0.469602
28,0,0,0,0,0.313856,0.117484,0.000193,0.000083,0.434719
29,0,0,0,0,0.340563,0.133763,0.000244,0.000181,0.477805
30,0,0,0,0,0.393228,0.188945,0.000224,0.000384,0.586965
31,0,0,0,0,0.345251,0.134637,0.000249,0.000117,0.484047
32,0,0,0,0,0.307034,0.112777,0.000341,0.000083,0.423832
33,0,0,0,0,0.349624,0.135727,0.000249,0.000185,0.488836
34,0,0,0,0,0.352443,0.115381,0.000302,0.000085,0.471316
35,0,0,0,0,0.297530,0.113404,0.000216,0.000187,0.413468
36,0,0,0,0,0.347681,0.139054,0.000251,0.000179,0.490405
37,0,0,0,0,0.334185,0.128158,0.000280,0.000072,0.465718
38,0,0,0,0,0.395925,0.905083,0.000211,0.000053,1.305298
