sequence,i,j,i_stamp_ns,j_stamp_ns,branch,inter_robot,measured_distance_m,gt_distance_m,distance_error_m,distance_flag,rmse_m,overlap,native_inliers,acceptance_gate_violations,cycle_neighbours,cycle_inconsistent_neighbours,cycle_eligible,cycle_flag,cycle_translation_median_m,cycle_rotation_median_deg
Library 1,Alpha:0,Bob:0,1660900388165000000,1660900388819000000,mapclosures,True,3.3648149296470606,7.195293653424881,3.83047872377782,True,0.31570901224260745,0.5861464270056993,13,,5,0,True,False,0.09793590240452464,0.17256724668075157
Library 1,Alpha:0,Bob:1,1660900388165000000,1660900390819000000,mapclosures,True,3.3548572511789914,7.176508950176732,3.8216516989977407,True,0.3089961878363362,0.6406099208646979,10,,6,0,True,False,0.09276104665813587,0.36363069806327686
Library 1,Alpha:3,Bob:1,1660900391565000000,1660900390819000000,mapclosures,True,4.762545732636312,7.283197689794685,2.520651957158373,True,0.3008807783998656,0.43486410496719774,7,,6,0,True,False,0.06334400926855464,0.33143645537123334
Library 1,Alpha:3,Bob:2,1660900391565000000,1660900392820000000,mapclosures,True,4.219017228538104,7.096906270154978,2.877889041616874,True,0.34101719151828186,0.602233676975945,9,,6,0,True,False,0.11155832268969595,0.4225483632505166
Library 1,Alpha:6,Bob:5,1660900394265000000,1660900395520000000,mapclosures,True,4.150849421354309,7.156729062916656,3.0058796415623474,True,0.32423226022494767,0.692772080714522,14,,9,0,True,False,0.09907361912196624,0.4060761924083598
Library 1,Alpha:6,Bob:8,1660900394265000000,1660900398219000000,mapclosures,True,3.2229571743181697,7.150305759419727,3.927348585101557,True,0.3355635476592575,0.7569467416473702,16,,11,0,True,False,0.07162262277296783,0.54084849583582
Library 1,Alpha:15,Carol:23,1660900402365000000,1660900410827000000,mapclosures,True,3.8239109091872425,1.7395961398206514,2.084314769366591,True,0.3419515854403199,0.6350799591697857,8,,6,0,True,False,0.05043122534461703,0.3128954411335497
Library 1,Alpha:35,Carol:42,,1660900428827000000,mapclosures+megaloc,True,1.5272662243473372,3.7286239299071915,2.2013577055598543,True,0.3186033618392459,0.7065421913446229,12,,0,0,False,,,
Library 1,Alpha:40,Carol:42,1660900424865000000,1660900428827000000,mapclosures+megaloc,True,3.954319919603148,6.06962538118152,2.115305461578372,True,0.32021666774157515,0.7091474887827471,15,,9,0,True,False,0.07206600991663092,0.20912179513389315
Library 1,Alpha:310,Bob:321,,1660900669420000000,mapclosures+megaloc,True,1.1809555829285865,7.381791489839826,6.20083590691124,True,0.31680316284647914,0.7978350595747995,16,,0,0,False,,,
