sequence,i,j,i_stamp_ns,j_stamp_ns,branch,inter_robot,measured_distance_m,gt_distance_m,distance_error_m,distance_flag,rmse_m,overlap,native_inliers,acceptance_gate_violations,cycle_neighbours,cycle_inconsistent_neighbours,cycle_eligible,cycle_flag,cycle_translation_median_m,cycle_rotation_median_deg
Laboratory 1,Bob:33,Bob:176,1662375689128000000,1662375893033000000,mapclosures,False,2.686781070905202,,,,0.251285508071115,0.8370574080440014,6,,0,0,False,,,
Laboratory 1,Bob:47,Bob:159,1662375706529000000,1662375874933000000,mapclosures,False,2.5760983679736853,,,,0.2555609055954343,0.8846804193439297,9,,0,0,False,,,
Laboratory 1,Bob:49,Bob:157,1662375709929000000,1662375872233000000,mapclosures,False,3.0242243217111295,,,,0.24367461425879325,0.8638270409809616,6,,0,0,False,,,
Laboratory 1,Bob:175,Carol:224,1662375892733000000,1662375885055000000,mapclosures,True,0.21025236137636713,,,,0.2563992557158791,0.8033159947984395,9,,1,0,False,,0.04266820634200897,0.6385382527722762
Laboratory 1,Bob:176,Carol:223,1662375893033000000,1662375884655000000,mapclosures+megaloc,True,0.47388752323173366,,,,0.2784212144009192,0.8400783289817232,9,,1,0,False,,0.04266820634200897,0.6385382527722762
Laboratory 1,Bob:202,Carol:252,1662375920914000000,1662375914334000000,megaloc,True,0.18372471572882892,,,,0.2501563225484351,0.918348900271166,6,,0,0,False,,,
Library 1,Alpha:0,Alpha:465,1660900388165000000,1660900804671000000,megaloc,False,0.9149978525998642,1.9361410901498195,1.0211432375499552,False,0.294879660209051,0.4250020413162407,7,,0,0,False,,,
Library 1,Alpha:0,Bob:0,1660900388165000000,1660900388819000000,mapclosures,True,3.3648149296470606,7.195293653424881,3.83047872377782,True,0.31570901224260745,0.5861464270056993,13,,5,0,True,False,0.09793590240452464,0.17256724668075157
Library 1,Alpha:0,Bob:1,1660900388165000000,1660900390819000000,mapclosures,True,3.3548572511789914,7.176508950176732,3.8216516989977407,True,0.3089961878363362,0.6406099208646979,10,,6,0,True,False,0.09276104665813587,0.36363069806327686
Library 1,Alpha:0,Carol:1,1660900388165000000,,mapclosures,True,2.797608641556127,2.5828576560784344,0.21475098547769278,False,0.3478953016363447,0.5360636710329962,6,,0,0,False,,,
Library 1,Alpha:1,Alpha:468,,1660900807371000000,mapclosures+megaloc,False,1.3595411828855282,1.8890955020787248,0.5295543191931966,False,0.30050102948194524,0.7639704006124011,7,,0,0,False,,,
Library 1,Alpha:1,Carol:7,,1660900395127000000,mapclosures,True,3.000840605692878,1.7104653659762517,1.2903752397166262,False,0.34589598792983733,0.6001460209296666,11,,0,0,False,,,
Library 1,Alpha:2,Alpha:468,1660900390665000000,1660900807371000000,megaloc,False,0.358182054026501,1.4921875002652543,1.1340054462387532,False,0.2987549917845857,0.8217232287148082,31,,0,0,False,,,
Library 1,Alpha:2,Carol:3,1660900390665000000,,mapclosures,True,3.5412142032518323,4.317251353017849,0.776037149766017,False,0.32507835444341365,0.5369250985545335,8,,0,0,False,,,
Library 1,Alpha:2,Carol:5,1660900390665000000,1660900392926000000,mapclosures,True,3.099830013766961,3.615484383505052,0.5156543697380909,False,0.327606491566709,0.6865052425133892,16,,1,0,False,,0.1521424111746719,0.9751481799602864
Library 1,Alpha:3,Bob:1,1660900391565000000,1660900390819000000,mapclosures,True,4.762545732636312,7.283197689794685,2.520651957158373,True,0.3008807783998656,0.43486410496719774,7,,6,0,True,False,0.06334400926855464,0.33143645537123334
Library 1,Alpha:3,Bob:2,1660900391565000000,1660900392820000000,mapclosures,True,4.219017228538104,7.096906270154978,2.877889041616874,True,0.34101719151828186,0.602233676975945,9,,6,0,True,False,0.11155832268969595,0.4225483632505166
Library 1,Alpha:3,Bob:483,1660900391565000000,1660900813824000000,mapclosures,True,3.4446815653941827,3.998517511346305,0.5538359459521223,False,0.3418009151348964,0.7274406110971208,7,,0,0,False,,,
Library 1,Alpha:4,Carol:11,,1660900398827000000,mapclosures+megaloc,True,3.2768968028534142,1.8525513471727442,1.42434545568067,False,0.34592688685918543,0.6478123768230193,8,,0,0,False,,,
Library 1,Alpha:6,Alpha:471,1660900394265000000,1660900810071000000,mapclosures+megaloc,False,0.866070432128839,1.8625647809947694,0.9964943488659304,False,0.29159339110618476,0.9207788112880341,10,,0,0,False,,,
Library 1,Alpha:6,Bob:3,1660900394265000000,,mapclosures,True,5.824413923972787,7.733344434580382,1.908930510607595,False,0.34447856492784734,0.593367515712868,7,,0,0,False,,,
Library 1,Alpha:6,Bob:5,1660900394265000000,1660900395520000000,mapclosures,True,4.150849421354309,7.156729062916656,3.0058796415623474,True,0.32423226022494767,0.692772080714522,14,,9,0,True,False,0.09907361912196624,0.4060761924083598
Library 1,Alpha:6,Bob:8,1660900394265000000,1660900398219000000,mapclosures,True,3.2229571743181697,7.150305759419727,3.927348585101557,True,0.3355635476592575,0.7569467416473702,16,,11,0,True,False,0.07162262277296783,0.54084849583582
Library 1,Alpha:6,Bob:16,1660900394265000000,1660900404819000000,megaloc,True,8.84725751031913,,,,0.33283812564397586,0.6233046642408204,7,,7,0,True,False,0.11443162477223906,0.47898894887631976
Library 1,Alpha:7,Alpha:474,,1660900812771000000,mapclosures+megaloc,False,1.4175767213154538,,,,0.30130166179754425,0.8984899328859061,12,,0,0,False,,,
Library 1,Alpha:8,Alpha:474,,1660900812771000000,mapclosures+megaloc,False,0.5210330075775377,,,,0.2950394977437156,0.9244203782794387,15,,0,0,False,,,
Library 1,Alpha:9,Bob:11,1660900396965000000,1660900400719000000,mapclosures,True,2.719038950982441,,,,0.3309894186058581,0.7631826741996234,13,,10,0,True,False,0.0657621210406028,0.43182722111367466
Library 1,Alpha:9,Carol:9,1660900396965000000,,mapclosures,True,5.253706668883361,6.7957452338574695,1.5420385649741082,False,0.3467630419066418,0.6850784287437994,10,,0,0,False,,,
Library 1,Alpha:10,Carol:16,,1660900403927000000,mapclosures+megaloc,True,2.378924706721731,1.2896504303071532,1.0892742764145777,False,0.3319713797841027,0.7055723883546304,15,,0,0,False,,,
Library 1,Alpha:11,Carol:17,,1660900404927000000,mapclosures+megaloc,True,2.4142027799999286,1.3585911276381,1.0556116523618286,False,0.3361326174949161,0.7229148753224419,10,,0,0,False,,,
