iteration,num_new_factors,num_removed_factors,num_new_values,num_accepted_beliefs,update_ms,stats_ms,belief_request_ms,visualization_ms,active_callback_ms
1,7,0,6,0,2.235241,0.307675,0.000653,0.000373,3.033676
2,0,0,0,0,2.586270,0.149433,0.000818,0.000430,2.744079
3,0,0,0,0,0.572011,0.214592,0.000603,0.000643,0.795813
4,0,0,0,0,0.617561,0.199193,0.000656,0.000656,0.829365
5,0,0,0,0,0.764565,0.174404,0.000787,0.000412,0.949309
6,0,0,0,0,0.480640,0.097648,0.000340,0.000234,0.584257
7,0,0,0,0,0.880149,0.174064,0.000858,0.000410,1.064570
8,0,0,0,0,0.625519,0.151732,0.000774,0.000551,0.786577
9,0,0,0,0,0.680751,0.148326,0.000811,0.000569,0.839181
10,0,0,0,0,0.455012,0.167579,0.000458,0.000438,0.631449
11,0,0,0,0,0.539329,0.155078,0.000597,0.000432,0.703266
12,0,0,0,0,0.472165,0.176298,0.000558,0.000534,0.657816
13,0,0,0,0,0.530488,0.142840,0.000704,0.000518,0.682641
14,0,0,0,0,0.475908,0.135824,0.000576,0.000452,0.619943
15,0,0,0,0,0.647011,0.193550,0.000647,0.000662,0.849662
16,0,0,0,0,0.542360,0.119942,0.000594,0.000343,0.670008
17,0,0,0,0,0.533893,0.150917,0.000711,0.000612,0.693951
18,0,0,0,0,0.533343,0.132573,0.000487,0.000285,0.699501
19,0,0,0,0,0.479979,0.179366,0.000534,0.000521,0.666727
20,0,0,0,0,0.558478,0.171739,0.000493,0.000570,0.738974
21,0,0,0,0,0.410831,0.215494,0.000917,0.000557,0.635861
22,0,0,0,0,0.347101,0.143891,0.000489,0.000394,0.498287
23,0,0,0,0,0.408542,0.189703,0.000543,0.000658,0.607935
24,0,0,0,0,0.448280,0.199650,0.000658,0.000569,0.657593
25,0,0,0,0,0.458120,0.190411,0.000609,0.000667,0.658384
26,0,0,0,0,0.400700,0.150845,0.000889,0.000457,0.560052
27,0,0,0,0,0.401481,0.153666,0.000630,0.000434,0.562762
28,0,0,0,0,0.308121,0.122887,0.000482,0.000419,0.437331
29,0,0,0,0,0.335728,0.142200,0.000494,0.000408,0.484507
30,0,0,0,0,0.383332,0.158202,0.000463,0.000448,0.549344
31,0,0,0,0,0.353913,0.178369,0.000531,0.000578,0.541781
32,0,0,0,0,0.375703,0.194979,0.000551,0.000588,0.579806
33,0,0,0,0,0.359124,0.165786,0.000778,0.000747,0.534828
34,0,0,0,0,0.347383,0.146874,0.000647,0.000371,0.501327
35,0,0,0,0,0.299778,0.147991,0.000687,0.000516,0.454729
36,0,0,0,0,0.333131,0.172198,0.000595,0.000555,0.512274
37,0,0,0,0,0.245194,0.120853,0.000467,0.000371,0.371837
38,0,0,0,0,0.281090,0.116342,0.000497,0.000481,0.403707
39,0,0,0,0,0.319392,0.157923,0.000467,0.000433,0.484504
40,0,0,0,0,0.384265,0.171409,0.000528,0.000480,0.564215
41,0,0,0,0,0.434982,0.171417,0.000835,0.000681,0.614869
42,0,0,0,0,0.286978,0.152551,0.000413,0.000496,0.446066
43,0,0,0,0,0.382418,0.189087,0.000629,0.000491,0.580735
44,0,0,0,0,0.465602,0.213113,0.000615,0.000783,0.689202
45,0,0,0,0,0.493960,0.184796,0.000910,0.000722,0.689814
46,0,0,0,0,0.325215,0.131280,0.000518,0.000352,0.463887
47,0,0,0,0,0.341014,0.131142,0.000553,0.000379,0.478599
48,0,0,0,0,0.250824,0.114243,0.000427,0.000315,0.370791
49,0,0,0,0,0.345383,0.140183,0.000532,0.000366,0.492568
50,0,0,0,0,0.327129,0.157624,0.000472,0.000526,0.491706
51,0,0,0,0,0.378604,0.177380,0.000689,0.000531,0.565609
52,0,0,0,0,0.409541,0.209098,0.000544,0.000609,0.627391
53,0,0,0,0,0.308514,0.159922,0.000723,0.000623,0.476316
54,0,0,0,0,0.305549,0.125481,0.000612,0.000330,0.437621
55,0,0,0,0,0.307421,0.149442,0.000703,0.000499,0.466101
56,0,0,0,0,0.376707,0.161270,0.000499,0.000461,0.545443
57,0,0,0,0,0.243837,0.138823,0.000387,0.000332,0.388800
58,0,0,0,0,0.402883,0.204136,0.000591,0.000476,0.616568
59,0,0,0,0,0.364059,0.167024,0.000608,0.000410,0.538734
60,0,0,0,0,0.440025,0.181746,0.000558,0.000451,0.631673
61,0,0,0,0,0.439359,0.196378,0.000614,0.000729,0.645979
62,0,0,0,0,0.416430,0.218536,0.000649,0.000756,0.644692
